Item,Quantity,Unit price,Total price,Descrption,Link
Dupont connectors,40,0.0253$,1.01$,connectors for LCD and ISP proggarmer,https://www.aliexpress.us/item/3256809185840584.html?spm=a2g0o.productlist.main.4.7725T11aT11aC1&aem_p4p_detail=202606272107031134387990076280002008158&algo_pvid=84f900fb-1f7e-4029-80e1-2e2e9eab2415&algo_exp_id=84f900fb-1f7e-4029-80e1-2e2e9eab2415-3&pdp_ext_f=%7B%22order%22%3A%22686%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.56%211.01%21%21%2110.57%216.87%21%402101e80317826196231237198ed5a5%2112000048899602396%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b644bf%3Bm03_new_user%3A-29895%3BpisId%3A5000000208023469&curPageLogUid=48BAjk6LrSZa&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009372155336%7C_p_origin_prod%3A&search_p4p_id=202606272107031134387990076280002008158_2
ISP porgrammer,1,1.9100$,$1.91,Flashes code onto the ATMega chip,https://www.aliexpress.us/item/3256810618247711.html?spm=a2g0o.productlist.main.2.71a9WonxWonxOW&algo_pvid=013dc172-5dcd-4517-a7dc-e44b31c61f77&algo_exp_id=013dc172-5dcd-4517-a7dc-e44b31c61f77-1&pdp_ext_f=%7B%22order%22%3A%2220%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.41%211.91%21%21%212.41%211.91%21%402101d6ff17826055513113304ea732%2112000053555380165%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b644bf%3Bm03_new_user%3A-29895%3BpisId%3A5000000208023469&curPageLogUid=atD9pSQGrkCO&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010804562463%7C_p_origin_prod%3A
Buttons,20,0.1095$,2.19$,Switching between menus & 0start/stop,https://www.aliexpress.us/item/3256801638385730.html?spm=a2g0o.productlist.main.18.6eae9KoY9KoY39&algo_pvid=a04722e0-ab76-4104-b323-04a47393d95b&algo_exp_id=a04722e0-ab76-4104-b323-04a47393d95b-17&pdp_ext_f=%7B%22order%22%3A%2239%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.15%212.59%21%21%213.15%212.59%21%402101eee917825893617621165ec559%2112000017947649837%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b644bf%3Bm03_new_user%3A-29895%3BpisId%3A5000000208023469&curPageLogUid=ypVEuRkxBtEG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001824700482%7C_p_origin_prod%3A
Terminal Block,5,0.0864$,0.4300$,For conencting things without JST conenctor,https://www.lcsc.com/product-detail/C394556.html?s_z=n_JILN%2520JL126-50002G01
Barrel Jack ,5,0.1462$,$0.73,Wall power input,https://www.lcsc.com/product-detail/C720558.html?s_z=n_q_barrel%2520jack%25205A&spm=wm.fly.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRTlVfU1NRRlVfXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktRRVBADxALGw%3D%3D
JST female,20,0.0403$,0.81$,Battery inpt,https://www.lcsc.com/product-detail/C158012.html?s_z=n_q_C158012&globalKeyword=C158012
4 Pin connector for LCD,10,0.0807$,0.81$,LCD input,https://www.lcsc.com/product-detail/C50950.html?s_z=n_q_C50950&globalKeyword=C50950
Arundio flash input,5,0.2238$,1.12$,Pins to flash code,https://www.lcsc.com/product-detail/C50980.html?s_z=n_q_C50980&globalKeyword=C50980
USB-C,5,$0.1857,$0.93,Charging,https://www.lcsc.com/product-detail/C165948.html?s_z=n_q_C165948&globalKeyword=C165948
5A fuse,10,0.0506$,$0.51,PCB,https://www.lcsc.com/product-detail/C41367229.html?s_z=n_q_t_5A%2520smd%2520fuse&spm=wm.fly.bg.0.xh___wm.ssy.tc.1.tz&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRTlVfX1JWRFhbVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQ1hcUV1ST1ZADxALGw%3D%3D
16 Mhz cyrstal ,5,0.2372$,$1.19,PCB,https://www.lcsc.com/product-detail/C122519.html?s_z=n_q_C122519&globalKeyword=C122519
Ferrite Bead ,10,0.0262$,$0.26,PCB,https://www.lcsc.com/product-detail/C21519.html?s_z=n_q_600%2520ohm%2520ferrite%2520bead%25200805&spm=wm.fly.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRTlNeUFZWRFZaXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQFFbUVZIHxUDCw%3D%3D
AO3400A ,5,0.0846$,$0.42,diode for the fan,https://www.lcsc.com/product-detail/C20917.html?s_z=n_q_C20917&globalKeyword=C20917
SS54 Diode,10,0.0366$,0.3700$,Diode used in buck and input pwr,https://www.lcsc.com/product-detail/C22452.html?s_z=n_q_SS54%2520diode&spm=wm.fly.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRTlNaVVRURldfUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slT1dZUUoOAwwC
33uH buck Inductor,5,0.2204$,1.10$,PCB,https://www.lcsc.com/product-detail/C9400.html?s_z=n_q_t_33uH%2520SMD%2520ind&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRT1leX1JUQFNXUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D
2.2uH boost Inductor,5,0.1161$,$0.58,PCB,https://www.lcsc.com/product-detail/C7461347.html?s_z=n_q_CXP0530-2R2M-AG&spm=wm.fly.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRT1leX11TRlhaUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRllfSQwSGg0%3D
120K resistor,100,$0.0022,$0.22,PCB,https://www.lcsc.com/product-detail/C2907223.html?s_z=n_q_C2907223&globalKeyword=C2907223
90K resitor,10,$0.0654,$0.65,PCB,https://www.lcsc.com/product-detail/C5123603.html?s_z=n_q_C5123603&globalKeyword=C5123603
68K resistor ,100,$0.0021,$0.21,PCB,https://www.lcsc.com/product-detail/C2907283.html?s_z=n_q_C2907283&globalKeyword=C2907283
51k resistor,100,$0.0021,$0.21,PCB,https://www.lcsc.com/product-detail/C2933461.html?s_z=n_q_C2933461&globalKeyword=C2933461
47K resistor,100,$0.0021,$0.21,PCB,https://www.lcsc.com/product-detail/C2930202.html?s_z=n_q_C2930202&globalKeyword=C2930202
10K resistor,100,$0.0020,$0.20,PCB,https://www.lcsc.com/product-detail/C2907219.html?s_z=n_q_C2907219&globalKeyword=C2907219
5.1K resistor,100,$0.00,$0.27,PCB,https://www.lcsc.com/product-detail/C27834.html?s_z=n_q_C27834&globalKeyword=C27834
3.3K resistor,100,$0.0020,$0.20,PCB,https://www.lcsc.com/product-detail/C2907023.html?s_z=n_q_t_3.3K%2520resistor&spm=wm.fly.bg.1.xh___wm.ssy.tc.0.tz&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRT1lfUVBUTlNfXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVZWVFBIHxUDCw%3D%3D
1k resistor,100,$0.0076,$0.76,PCB,https://www.lcsc.com/product-detail/C2907002.html?s_z=n_q_t_0603%25201k%25CE%25A9%2520&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNeRFBXUFRQT1NcUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhXSQwSGg0%3D
100Ω resistor,100,$0.0014,$0.14,PCB,https://www.lcsc.com/product-detail/C105588.html?s_z=n_q_t_100%25CE%25A9%2520resistor&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRT1lfUVxWQ1RbXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhXSQwSGg0%3D
470uF capacitor,5,$0.0875,$0.44,PCB,https://www.lcsc.com/product-detail/C976030.html
